,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
0,31,,16,0.00014887460106259248,size_chart,12,0.00011165595079694435,"[Order Information, neutral]",15,0.00013956993849618043,,,,"[fit, body type]",58,0.0005396704288518977,bottoms,122,0.0011351688331022675,,,,,,,,,,,,,,,,,,,,,,Android 7.1.2,123,0.0011444734956686795,Chrome/Safari/Flipboard,12,0.00011165595079694435,Moto G (5) Plus,158,0.0014701366854931006
1,34,goodbye,6,5.5827975398472176e-05,,10,9.304662566412029e-05,"[Add to Wishlist, Shop Now, neutral]",12,0.00011165595079694435,,,,"[size uk, size, size eu, size us]",54,0.0005024517785862496,pan,105,0.000976989569473263,,,,,,,,,,,,,,,,,,,,,,OS11_2_6,104,0.0009676849069068511,coc_coc_browser/Chrome/Safari,10,9.304662566412029e-05,SM-G975F,129,0.0012003014710671518
2,28,negative_after_show_products,25,0.00023261656416030072,design_question,31,0.0002884445395587729,"[Thank You, positive, Shop Now]",28,0.00026053055185953683,,,,"[size uk, size eu, size us, color]",65,0.0006048030668167819,opticals,195,0.0018144092004503457,,,,,,,,,,,,,,,,,,,,,,CrOS x86_64 12105.100.0,159,0.0014794413480595126,Chrome/Safari/Core/LBBROWSER,14,0.00013026527592976841,SM-G965F,172,0.001600401961422869
3,26,store_locator_button,49,0.0004559284657541894,no_lang_support,36,0.000334967852390833,"[Thank You, neutral, Shop Now]",40,0.00037218650265648115,,,,"[size uk, color, size eu, size us]",77,0.0007164590176137263,sunglasses,221,0.0020563304271770584,,,,,,,,,,,,,,,,,,,,,,Android 6.0,223,0.0020749397523098824,Chrome/UCBrowser/Safari,17,0.0001581792636290045,INE-LX2,187,0.0017399718999190495
4,27,clarify_for_age_gender,39,0.00036288184009006914,heel_question,31,0.0002884445395587729,"[FAQ, neutral]",37,0.0003442725149572451,,,,"[size uk, size us, size, size eu]",76,0.0007071543550473142,pocket square,216,0.0020098071143449985,,,,,,,,,,,,,,,,,,,,,,OS10_3_3,220,0.0020470257646106466,Chrome/Whale/Safari,15,0.00013956993849618043,SM-G970U,181,0.0016841439245205772
5,12,fabric_question,1504,0.013994212499883692,consumer_mismatch_one_group,895,0.008327672996938765,"[Customer Support, neutral]",294,0.0027355707945251368,electronics,200.0,0.0018609325132824058,[neckline],619,0.005759586128609046,phone case,775,0.007211113488969322,"[[true, original penguin], [true, blend]]",1.0,9.30466256641203e-06,[style],5.0,4.6523312832060144e-05,[sweater],2.0,1.860932513282406e-05,,,,,,,,,,,,,OS12_2,1313,0.012217021949698995,Firefox,172,0.001600401961422869,SM-G975U,570,0.005303657662854857
6,22,design_question,122,0.0011351688331022675,consumer_mismatch,210,0.001953979138946526,"[Shop Now, Introduction, positive]",56,0.0005210611037190737,cleaning \u0026 organizing,14.0,0.00013026527592976841,"[fabric, color]",99,0.0009211615940747909,wallet,355,0.0033031552110762705,,,,,,,,,,,,,,,,,,,,,,OS11_3,262,0.0024378215923999517,Chrome/Whale/Crosswalk/Safari/NAVER(inapp;/search;,25,0.00023261656416030072,SAMSUNG SM-G950U,254,0.002363384291868655
7,1,subvertical_selection,35811,0.3332092711657812,,46103,0.42897285829929377,"[Shop Now, neutral]",51210,0.47649177002596,,60740.0,0.5651652042838666,[],80287,0.7470434434695226,,68798,0.6401421752440147,[],106835.0,0.9940636252826291,[],106751.0,0.9932820336270505,[],106905.0,0.994714951662278,male,101899.0,0.9481358108548193,adult,101999.0,0.9490662771114605,NULL,45530.0,0.4236412866487397,Mobile,63836.0,0.5939724395894783,Windows,25708,0.23920426525732044,Chrome/Safari,50140,0.4665357810798991,,37246,0.34656146194858245
8,13,sub_group_types_question,1249,0.011621523545448624,sub_group_types_question,732,0.006811012998613605,"[Shop Now, negative]",285,0.0026518288314274284,bed,169.0,0.001572487973723633,[style],517,0.004810510546835019,sweater,745,0.006931973611976961,,,,"[cut, cut]",4.0,3.721865026564812e-05,[sunglasses],2.0,1.860932513282406e-05,,,,,,,,,,,,,OS12_4_1,1198,0.011146985754561611,Silk/like/Chrome/Safari,163,0.0015166599983251607,Apple iphone,524,0.0048756431847999035
9,6,sleeve style_question,3132,0.029142203158002474,customer_care_url,5290,0.049221664976319635,"[Shop Now, positive]",1781,0.016571604030779823,lounge \u0026 underwear,2925.0,0.027216138006755184,[activity],1347,0.012533380476957004,underwear,1347,0.012533380476957004,"[[true, hybrid apparel]]",5.0,4.6523312832060144e-05,[neckline],15.0,0.00013956993849618043,[pants],8.0,7.443730053129624e-05,,,,user,25.0,0.00023261656416030072,,,,,,,Mac OS,6469,0.06019186214211942,Chrome/Safari/Edge,2091,0.019456049426367552,X11,978,0.009099959989950964
