,row_number,nbr_response_code_replaced,count,percent_nbr_response_code_replaced,last_nbr_code_replaced,count,percent_last_nbr_code_replaced,last_nlu_intents_list_replaced,count,percent_last_nlu_intents_list_replaced,last_nlu_subvertical_replaced,count,percent_last_nlu_subvertical_replaced,last_nlu_positive_aspects_replaced,count,percent_last_nlu_positive_aspects_replaced,last_nlu_positive_product_type_replaced,count,percent_last_nlu_positive_product_type_replaced,last_nlu_gender_replaced,count,percent_last_nlu_gender_replaced,last_nlu_age_group_replaced,count,percent_last_nlu_age_group_replaced,customer_type_replaced,count,percent_customer_type_replaced,platform_replaced,count,percent_platform_replaced,os_replaced,count,percent_os_replaced,app_replaced,count,percent_app_replaced,device_replaced,count,percent_device_replaced
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,neckline_question,1689.0,0.01571557507466992,consumer_mismatch_one_group,895.0,0.008327672996938765,,,,,,,"[size uk, size eu, size us]",724.0,0.006736575698082309,phone case,775.0,0.007211113488969322,,,,,,,,,,,,,OS12_2,1313.0,0.012217021949698995,,,,SM-G975U,570.0,0.005303657662854857
6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,subvertical_selection,35811.0,0.3332092711657812,other,48888.0,0.4548863435467513,"[Shop Now, neutral]",51210.0,0.47649177002596,other,62251.0,0.5792245494217152,[],80287.0,0.7470434434695226,other,76200.0,0.7090152875605966,male,101899.0,0.9481358108548193,adult,101999.0,0.9490662771114605,NULL,45530.0,0.4236412866487397,Mobile,63836.0,0.5939724395894783,Windows,25708.0,0.23920426525732044,Chrome/Safari,50140.0,0.4665357810798991,other,57086.0,0.5311659672661971
8,13,fabric_question,1504.0,0.013994212499883692,sub_group_types_question,732.0,0.006811012998613605,,,,,,,[neckline],619.0,0.005759586128609046,sweater,745.0,0.006931973611976961,,,,,,,,,,,,,OS12_4_1,1198.0,0.011146985754561611,,,,,,
9,6,sleeve style_question,3132.0,0.029142203158002474,customer_care_url,5290.0,0.049221664976319635,"[positive, Shop Now]",2501.0,0.023270961078596483,lounge \u0026 underwear,2925.0,0.027216138006755184,[fit],1729.0,0.016087761577326398,underwear,1347.0,0.012533380476957004,,,,,,,,,,,,,Mac OS,6469.0,0.06019186214211942,Chrome/Safari/Edge,2091.0,0.019456049426367552,X11,978.0,0.009099959989950964
