,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
0,31,no_products_for_type_and_occasion,4.0,0.000123750889459518,generic_aspect_question,6,0.000185626334189277,"[Order Information, neutral]",7,0.0002165640565541565,,,,"[color, neckline]",31,0.0009590693933112644,sandals,58,0.001794387897163011,"[[true, style co]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS11_0,76,0.0023512668997308418,EdgiOS/Safari,4.0,0.000123750889459518,SM-G970U,59,0.0018253256195278904
1,34,negative_after_show_products,2.0,6.1875444729759e-05,no_products_for_type_and_occasion,3,9.28131670946385e-05,"[Mute, neutral, Shop Now]",5,0.00015468861182439748,,,,"[fabric, fabric]",28,0.000866256226216626,slip-ons,38,0.0011756334498654209,,,,,,,,,,,,,,,,,,,,,,Android 8.0,61,0.0018872010642576494,Mobile],2.0,6.1875444729759e-05,SM-G930V,57,0.0017634501747981314
2,28,size_question_answer,6.0,0.000185626334189277,single_type_option_consumer_mismatch,10,0.00030937722364879496,"[Help, Shop Now, Aspect Question, neutral]",7,0.0002165640565541565,,,,"[size uk, size, size us, size eu]",40,0.0012375088945951798,pan,70,0.002165640565541565,"[[true, dr denim], [true, doctor denim]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,Android 7.1.2,85,0.0026297064010147573,DuckDuckGo,5.0,0.00015468861182439748,SAMSUNG SM-N960U,62,0.0019181387866225288
3,26,order_information_no_order_number_no_escalation,8.0,0.000247501778919036,consumer_mismatch_one_group,12,0.000371252668378554,"[Opening, neutral]",10,0.00030937722364879496,,,,"[fit, fabric]",40,0.0012375088945951798,handbag,79,0.0024440800668254804,"[[true, mix]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS12_1_2,103,0.0031865854035825884,Unknown,6.0,0.000185626334189277,Pixel 3,71,0.002196578287906444
4,27,,8.0,0.000247501778919036,size_chart,10,0.00030937722364879496,"[Shop new arrivals, neutral]",9,0.0002784395012839155,,,,"[size uk, size uk, size us, size, size us, size eu, size eu, length, sleeve style]",40,0.0012375088945951798,suit,75,0.0023203291773659625,"[[true, jump]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,Android 5.0,88,0.002722519568109396,dealmoon/dm_protocol/dm_version/dm_channel,6.0,0.000185626334189277,LG-Q710AL,70,0.002165640565541565
5,12,style_question,438.0,0.01355072239581722,no_products_for_type,232,0.007177551588652044,"[Opening, positive, Shop Now]",136,0.004207530241623612,home decor,67.0,0.0020728273984469262,"[size uk, size uk, size us, size, size us, size eu, size eu]",238,0.00736317792284132,athletic shoes,337,0.01042601243696439,"[[true, ralph lauren]]",3.0,9.28131670946385e-05,"[color, color, fabric, size]",4.0,0.000123750889459518,,,,,,,,,,,,,,,,Android 7.0,801,0.02478111561426848,Instagram,37.0,0.0011446957275005414,SM-G950U,194,0.006001918138786622
6,22,error_with_search,15.0,0.00046406583547319247,no_products_for_age_groups,23,0.0007115676143922285,"[Shop new arrivals, Opening, positive]",11,0.0003403149460136745,cleaning \u0026 organizing,3.0,9.28131670946385e-05,"[size uk, size us, size eu]",78,0.0024131423444606007,fragrance,100,0.0030937722364879497,"[[true, bass]]",1.0,3.09377223648795e-05,,,,,,,,,,,,,,,,,,,OS12_0,140,0.00433128113108313,Firefox,11.0,0.0003403149460136745,SM-G973U,97,0.003000959069393311
7,1,shopping_open_question_no_gender,14314.0,0.4428425579308851,,13047,0.4036444636945828,"[Shop Now, neutral]",18886,0.5842898245831142,,13058.0,0.40398477864059645,[],21233,0.6569006589734864,,15664,0.48460848312347243,[],30750.0,0.9513349627200446,[],30843.0,0.9542121708999783,[],30941.0,0.9572440676917365,user,14647.0,0.45314481947839,adult,15364.0,0.47532716641400863,NULL,21818.0,0.6749992265569409,Mobile,20757.0,0.6421743031278038,Windows,6450,0.19954830925347275,Chrome/Safari,14726.0,0.4555888995452155,iPhone,11370,0.3517619032886799
8,13,neckline_question,288.0,0.008910064041085295,fabric_question,200,0.0061875444729758994,"[Shop on sale, neutral]",133,0.004114717074528973,bed,56.0,0.001732512452433252,"[size uk, size eu, size us]",196,0.0060637935835163815,underwear,318,0.00983819571203168,"[[true, fur]]",3.0,9.28131670946385e-05,"[fabric, size]",3.0,9.28131670946385e-05,,,,,,,,,,,,,,,,OS12_3_1,530,0.016396992853386135,Silk/like/Chrome/Safari,31.0,0.0009590693933112644,SM-G955U,166,0.005135661912569997
9,6,sleeve style_question,1065.0,0.03294867431859667,subvertical_selection_second,891,0.02756551062710763,"[New Search, neutral]",404,0.012498839835411318,accessories,671.0,0.020759211706834143,[weather],577,0.01785106580453547,hoodie,924,0.028586455465148656,"[[true, mallet]]",8.0,0.000247501778919036,[style],15.0,0.00046406583547319247,[shoes],4.0,0.000123750889459518,,,,junior,35.0,0.0010828202827707824,,,,,,,OS12_4_1,2165,0.06698016891996411,CriOS/Safari,675.0,0.02088296259629366,SM-G960U,282,0.008724437706896019
