,row_number,nbr_response_code_replaced,count,percent_nbr_response_code_replaced,last_nbr_code_replaced,count,percent_last_nbr_code_replaced,last_nlu_intents_list_replaced,count,percent_last_nlu_intents_list_replaced,last_nlu_subvertical_replaced,count,percent_last_nlu_subvertical_replaced,last_nlu_positive_aspects_replaced,count,percent_last_nlu_positive_aspects_replaced,last_nlu_positive_product_type_replaced,count,percent_last_nlu_positive_product_type_replaced,last_nlu_gender_replaced,count,percent_last_nlu_gender_replaced,last_nlu_age_group_replaced,count,percent_last_nlu_age_group_replaced,customer_type_replaced,count,percent_customer_type_replaced,platform_replaced,count,percent_platform_replaced,os_replaced,count,percent_os_replaced,app_replaced,count,percent_app_replaced,device_replaced,count,percent_device_replaced
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,no_products_for_type,469.0,0.014509791789128484,no_products_for_type,232.0,0.007177551588652044,,,,,,,"[size uk, size uk, size us, size, size us, size eu, size eu]",238.0,0.00736317792284132,athletic shoes,337.0,0.01042601243696439,,,,,,,,,,,,,Android 7.0,801.0,0.02478111561426848,,,,SM-G950U,194.0,0.006001918138786622
6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,shopping_open_question_no_gender,14314.0,0.4428425579308851,other,13838.0,0.4281162020852025,"[Shop Now, neutral]",18886.0,0.5842898245831142,other,13602.0,0.42081489960709095,[],21233.0,0.6569006589734864,other,17952.0,0.5553939918943167,user,14647.0,0.45314481947839,adult,15364.0,0.47532716641400863,NULL,21818.0,0.6749992265569409,Mobile,20757.0,0.6421743031278038,Windows,6450.0,0.19954830925347275,Chrome/Safari,14726.0,0.4555888995452155,other,15928.0,0.49277604182780066
8,13,style_question,438.0,0.01355072239581722,fabric_question,200.0,0.0061875444729758994,,,,,,,"[size uk, size eu, size us]",196.0,0.0060637935835163815,underwear,318.0,0.00983819571203168,,,,,,,,,,,,,OS12_3_1,530.0,0.016396992853386135,,,,SM-G955U,166.0,0.005135661912569997
9,6,sleeve style_question,1065.0,0.03294867431859667,subvertical_selection_second,891.0,0.02756551062710763,"[New Search, neutral]",404.0,0.012498839835411318,accessories,671.0,0.020759211706834143,[weather],577.0,0.01785106580453547,hoodie,924.0,0.028586455465148656,,,,,,,,,,,,,OS12_4_1,2165.0,0.06698016891996411,CriOS/Safari,675.0,0.02088296259629366,SM-G960U,282.0,0.008724437706896019
