,row_number,nbr_response_code,count,percent_nbr_response_code,last_nbr_code,count,percent_last_nbr_code,last_nlu_intents_list,count,percent_last_nlu_intents_list,last_nlu_subvertical,count,percent_last_nlu_subvertical,last_nlu_positive_aspects,count,percent_last_nlu_positive_aspects,last_nlu_positive_product_type,count,percent_last_nlu_positive_product_type,last_nlu_positive_brands,count,percent_last_nlu_positive_brands,last_nlu_negative_aspects,count,percent_last_nlu_negative_aspects,last_nlu_negative_product_type,count,percent_last_nlu_negative_product_type,last_nlu_gender,count,percent_last_nlu_gender,last_nlu_age_group,count,percent_last_nlu_age_group,customer_type,count,percent_customer_type,platform,count,percent_platform,os,count,percent_os,app,count,percent_app,device,count,percent_device
0,31,order_information_no_order_number_no_escalation,12.0,0.00018085090350097207,single_type_option_consumer_mismatch,14,0.00021099272075113408,"[Shop new arrivals, Opening, positive]",11,0.00016577999487589107,,,,"[size uk, size uk, size us, size, size us, size eu, size eu, fabric]",60,0.0009042545175048603,wallet,130,0.0019592181212605307,"[[true, cutter \u0026 buck]]",2,3.0141817250162012e-05,,,,,,,,,,,,,,,,,,,OS12_1,144,0.002170210842011665,EdgiOS/Safari,6,9.042545175048603e-05,SM-G965U1,130,0.0019592181212605307
1,34,negative_after_show_products,3.0,4.521272587524302e-05,no_lang_support,10,0.00015070908625081005,"[Order Information, neutral]",11,0.00016577999487589107,,,,,51,0.0007686163398791313,slip-ons,100,0.0015070908625081005,"[[false, fur]]",2,3.0141817250162012e-05,,,,,,,,,,,,,,,,,,,Android 6.0,131,0.001974289029885612,MicroMessenger/NetType/Language,5,7.535454312540503e-05,SM-A205U,122,0.0018386508522598827
2,28,design_question,15.0,0.00022606362937621508,consumer_mismatch_one_group,25,0.00037677271562702513,"[Help, positive, Shop Now]",12,0.00018085090350097207,,,,"[fit, fabric]",71,0.0010700345123807514,top,147,0.002215423567886908,"[[false, flex]]",2,3.0141817250162012e-05,,,,,,,,,,,,,,,,,,,OS12_3,163,0.002456558105888204,Snapchat,11,0.00016577999487589107,STK-L21,134,0.002019501755760855
3,26,no_products_for_type_and_occasion,24.0,0.00036170180700194414,no_products_for_age_groups,27,0.0004069145328771872,"[Shop on sale, positive]",15,0.00022606362937621508,,,,"[size uk, size uk, size us, size, color, size us, size eu, size eu]",81,0.0012207435986315615,tie,169,0.00254698355763869,"[[false, blend]]",2,3.0141817250162012e-05,,,,,,,,,,,,,,,,,,,OS12_0,194,0.002923756273265715,Firefox,11,0.00016577999487589107,SAMSUNG SM-G955U,136,0.002049643573011017
4,27,error_with_search,16.0,0.0002411345380012961,,26,0.0003918436242521062,"[Not English, neutral]",12,0.00018085090350097207,,,,"[size uk, size uk, size us, size, size us, size eu, size eu, length, sleeve style]",75,0.0011303181468810754,pan,160,0.002411345380012961,"[[false, style co]]",2,3.0141817250162012e-05,,,,,,,,,,,,,,,,,,,OS12_1_2,183,0.0027579762783898243,Unknown,11,0.00016577999487589107,SM-J737T1,136,0.002049643573011017
5,12,no_products_for_type,1075.0,0.01620122677196208,offer_other_products_for_type,597,0.00899733244917336,[negative],240,0.0036170180700194413,home decor,127.0,0.0019140053953852878,[length],492,0.007414887043539855,athletic shoes,671,0.010112579687429355,"[[true, sleep \u0026 co]]",9,0.00013563817762572906,[material],5.0,7.535454312540503e-05,[dress],4.0,6.0283634500324025e-05,,,,,,,,,,,,,OS13_2,1421,0.02141576115624011,Chrome/YaBrowser/Yowser/Safari,113,0.0017030126746341537,SM-G950U,404,0.006088647084532726
6,22,generic_aspect_question,55.0,0.0008288999743794553,clarify_for_age_gender,52,0.0007836872485042124,"[Help, Shop Now, positive]",26,0.0003918436242521062,baby gear,8.0,0.00012056726900064805,"[size uk, size uk, size us, size, size us, size eu, size eu, color]",137,0.002064714481636098,fragrance,207,0.003119678085391768,"[[true, whit]]",3,4.521272587524302e-05,[price],1.0,1.5070908625081006e-05,,,,,,,,,,,,,,,,Android 10,321,0.004837761668651003,FxiOS/Safari,22,0.00033155998975178215,SM-N975U,189,0.00284840173014031
7,1,shopping_open_question_no_gender,25217.0,0.3800431027986677,,25417,0.3830572845236839,"[Shop Now, neutral]",40571,0.6114418338281615,clothing,25740.0,0.3879251880095851,[],45712,0.688921375069703,,30144,0.45429746959444184,[],65646,0.9893448676020677,[],66023.0,0.9950266001537232,[],66159.0,0.9970762437267343,user,26753.0,0.40319201844679214,adult,37457.0,0.5645110243696593,NULL,39247.0,0.5914879508085542,Mobile,48054.0,0.7242174430696426,Windows,11645,0.17550073093906832,Chrome/Safari,28011,0.42215122149714407,iPhone,28690,0.4323843684535741
8,13,style_question,909.0,0.013699455940198635,no_products_for_type,559,0.008424637921420283,"[Opening, positive, Shop Now]",188,0.0028333308215152293,bed,113.0,0.0017030126746341537,"[size uk, size eu, size us]",399,0.006013292541407322,underwear,633,0.009539885159676277,"[[false, mallet]]",9,0.00013563817762572906,"[color, size]",5.0,7.535454312540503e-05,[jeans],3.0,4.521272587524302e-05,,,,,,,,,,,,,OS12_3_1,1382,0.02082799571986195,Silk/like/Chrome/Safari,63,0.0009494672433801034,SAMSUNG SM-G965U,267,0.0040239326028966285
9,6,customer_care_url,1823.0,0.027474266423522672,subvertical_selection_second,2330,0.03511521709643874,[positive],793,0.011951230539689238,lounge \u0026 underwear,1392.0,0.02097870480611276,[fit],992,0.014950341356080359,sweater,2169,0.032688800807800705,"[[true, mallet]]",37,0.0005576236191279973,[color],39.0,0.0005877654363781593,[hoodie],16.0,0.0002411345380012961,,,,,51.0,0.0007686163398791313,,,,,,,OS12_4_1,3496,0.052687896553283195,,1353,0.0203909393697346,X11,553,0.008334212469669797
10,16,product_type_selection_second,297.0,0.004476059861649059,style_question,283,0.004265067140897924,[Frustration],92,0.0013865235935074526,bath,39.0,0.0005877654363781593,[style],237,0.0035718053441441983,coat,372,0.0056063780085301345,"[[true, polo ralph lauren], [true, ralph lauren]]",4,6.0283634500324025e-05,[length],3.0,4.521272587524302e-05,[boots],2.0,3.0141817250162012e-05,,,,,,,,,,,,,OS12_4_2,756,0.01139360692056124,Chrome/Safari/Instagram/Android,55,0.0008288999743794553,SAMSUNG SM-G960U,247,0.0037225144303950084
11,3,color_question,9141.0,0.13776317574186547,subvertical_selection,6993,0.10539086401519147,"[neutral, Shop Now]",8289,0.12492276159329646,outerwear,6473.0,0.09755399153014935,[fabric],1651,0.02488207014000874,jacket,4511,0.06798486880774042,"[[false, u.s. polo assn.]]",64,0.0009645381520051844,[fit],48.0,0.0007234036140038883,[shirt],35.0,0.0005274818018778352,female,12893.0,0.1943092249031694,kids,2649.0,0.03992283694783959,Returning Visitor,12011.0,0.18101668349584796,,1285.0,0.019366117583229092,OS13_1_3,8234,0.124093861618917,SamsungBrowser/Chrome/Safari,3054,0.046026554940997395,Mac,4772,0.07191837595888656
12,20,clarify_for_age_gender,97.0,0.0014618781366328576,clarify_for_product_type_aspect,69,0.0010398926951305893,"[Shop Now, Back, neutral]",30,0.00045212725875243016,all,17.0,0.0002562054466263771,"[size uk, size us, size, size eu]",168,0.0025319126490136092,hat,299,0.004506201678899221,"[[true, oxford]]",3,4.521272587524302e-05,"[color, cut]",2.0,3.0141817250162012e-05,,,,,,,,,,,,,,,,Android 6.0.1,487,0.00733953250041445,Chrome/Safari/YaApp_Android/YaSearchBrowser,35,0.0005274818018778352,LM-Q710(FGN),205,0.003089536268141606
13,40,,,,negative_after_show_products,2,3.0141817250162012e-05,"[Speak to live assistant, neutral]",7,0.00010549636037556704,,,,"[color, sleeve style]",38,0.0005726945277530782,carpet,61,0.0009193254261299414,"[[true, mango]]",1,1.5070908625081006e-05,,,,,,,,,,,,,,,,,,,U,93,0.0014015945021325336,Cellular],2,3.0141817250162012e-05,LM-X210(G),96,0.0014468072280077765
14,5,subvertical_selection_second,3330.0,0.05018612572151975,color_question,3423,0.05158772022365228,"[Shop Now, Indifferent]",1134,0.017090410380841862,accessories,1537.0,0.023163986556749505,[weather],1324,0.019953883019607252,pants,2538,0.03824996609045559,"[[true, uspa]]",43,0.0006480490708784832,[size],40.0,0.0006028363450032402,[jacket],18.0,0.0002712763552514581,,51.0,0.0007686163398791313,junior,82.0,0.0012358145072566425,,,,,,,OS13_1_2,4486,0.06760809609211339,CriOS/Safari,1844,0.027790755504649375,SM-G960U,583,0.008786339728422226
15,19,cut_question,140.0,0.0021099272075113407,clarify_for_product_type,159,0.00239627447138788,,51,0.0007686163398791313,furniture,21.0,0.00031648908112670115,"[color, color]",183,0.0027579762783898243,socks,305,0.004596627130649707,"[[false, pony]]",3,4.521272587524302e-05,[pack],2.0,3.0141817250162012e-05,,,,,,,,,,,,,,,,OS13_1_1,506,0.007625879764290989,Chrome/YaBrowser/Safari,37,0.0005576236191279973,LG-Q710AL,206,0.0031046071767666873
16,15,clarify_for_product_type,389.0,0.005862583455156512,offer_other_products_for_type_parent,439,0.006616128886410562,"[negative, Shop Now]",109,0.0016427290401338297,eyewear,79.0,0.0011906017813813996,[price],363,0.005470739830904405,sweatshirt,413,0.006224285262158456,"[[true, varsity]]",6,9.042545175048603e-05,"[size, fit]",3.0,4.521272587524302e-05,[pan],2.0,3.0141817250162012e-05,,,,,,,,,,,,,OS13_0,1032,0.015553177701083599,Chrome/ADG/AOLBUILD/Safari,61,0.0009193254261299414,SM-G960F,259,0.0039033653338959805
