,row_number,nbr_response_code_replaced,count,percent_nbr_response_code_replaced,last_nbr_code_replaced,count,percent_last_nbr_code_replaced,last_nlu_intents_list_replaced,count,percent_last_nlu_intents_list_replaced,last_nlu_subvertical_replaced,count,percent_last_nlu_subvertical_replaced,last_nlu_positive_aspects_replaced,count,percent_last_nlu_positive_aspects_replaced,last_nlu_positive_product_type_replaced,count,percent_last_nlu_positive_product_type_replaced,last_nlu_gender_replaced,count,percent_last_nlu_gender_replaced,last_nlu_age_group_replaced,count,percent_last_nlu_age_group_replaced,customer_type_replaced,count,percent_customer_type_replaced,platform_replaced,count,percent_platform_replaced,os_replaced,count,percent_os_replaced,app_replaced,count,percent_app_replaced,device_replaced,count,percent_device_replaced
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,consumer_mismatch,1176.0,0.017723388543095263,offer_other_products_for_type,597.0,0.00899733244917336,,,,,,,"[size uk, size uk, size us, size, size us, size eu, size eu]",537.0,0.0080930779316685,athletic shoes,671.0,0.010112579687429355,,,,,,,,,,,,,OS12_4,1609.0,0.02424909197775534,,,,SM-G950U,404.0,0.006088647084532726
6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,shopping_open_question_no_gender,25217.0,0.3800431027986677,other,26781.0,0.40361400388829444,"[Shop Now, neutral]",40571.0,0.6114418338281615,clothing,25740.0,0.3879251880095851,[],45712.0,0.688921375069703,other,34739.0,0.5235482947266891,user,26753.0,0.40319201844679214,adult,37457.0,0.5645110243696593,NULL,39247.0,0.5914879508085542,Mobile,48054.0,0.7242174430696426,Windows,11645.0,0.17550073093906832,Chrome/Safari,28011.0,0.42215122149714407,iPhone,28690.0,0.4323843684535741
8,13,no_products_for_type,1075.0,0.01620122677196208,no_products_for_type,559.0,0.008424637921420283,,,,,,,[length],492.0,0.007414887043539855,underwear,633.0,0.009539885159676277,,,,,,,,,,,,,OS13_2,1421.0,0.02141576115624011,,,,,,
9,6,customer_care_url,1823.0,0.027474266423522672,subvertical_selection_second,2330.0,0.03511521709643874,"[Shop Now, Indifferent]",1134.0,0.017090410380841862,lounge \u0026 underwear,1392.0,0.02097870480611276,[weather],1324.0,0.019953883019607252,sweater,2169.0,0.032688800807800705,,,,,,,,,,,,,OS13_1_2,4486.0,0.06760809609211339,CriOS/Safari,1844.0,0.027790755504649375,X11,553.0,0.008334212469669797
