,code,retailer,count
0,,429,16
1,,962,8
2,anything_else,429,2
3,aspect_question_answer,429,6
4,aspect_question_answer,962,1
5,brand_question_answer,429,3
6,clarify_for_age_gender,429,39
7,clarify_for_age_gender,962,54
8,clarify_for_product_type,429,550
9,clarify_for_product_type,962,154
10,clarify_for_product_type_aspect,429,624
11,clarify_for_product_type_aspect,962,63
12,click_tell_me_more,962,0
13,color_question,429,4640
14,color_question,962,1611
15,consumer_mismatch,429,302
16,consumer_mismatch,962,629
17,consumer_mismatch_one_group,429,2609
18,consumer_mismatch_one_group,962,57
19,continue_after_carousel,429,2
20,customer_care_url,429,8043
21,customer_care_url,962,756
22,cut_question,429,306
23,cut_question,962,78
24,design_question,429,122
25,design_question,962,6
26,error_with_search,429,0
27,error_with_search,962,0
28,fabric_question,429,1504
29,fabric_question,962,551
30,fit_question,429,2657
31,fit_question,962,650
32,generic_aspect_question,429,22
33,generic_aspect_question,962,14
34,goodbye,429,0
35,heel_question,429,75
36,material_question,429,680
37,material_question,962,93
38,neckline_question,429,1689
39,neckline_question,962,288
40,negative_after_show_products,429,8
41,negative_after_show_products,962,0
42,negative_goodbye,429,0
43,no_brand_for_type,429,3
44,no_brand_for_type,962,70
45,no_lang_support,429,0
46,no_lang_support,962,0
47,no_products_for_age_groups,962,84
48,no_products_for_type,429,2740
49,no_products_for_type,962,469
50,no_products_for_type_and_occasion,962,4
51,no_products_for_type_single,429,387
52,no_products_for_type_single,962,59
53,no_types_for_subvertical_occasion,429,3
54,offer_other_products_for_type,429,3790
55,offer_other_products_for_type,962,905
56,offer_other_products_for_type_parent,962,499
57,order_information_button,429,15
58,order_information_no_escalation,429,1
59,order_information_no_order_number_no_escalation,962,8
60,positive_sku,429,0
61,positive_sku,962,0
62,product_type_selection,429,9231
63,product_type_selection,962,2817
64,product_type_selection_second,429,789
65,product_type_selection_second,962,115
66,remove_aspect_for_brand_no_type,429,2
67,shopping_open_question_no_gender,962,14309
68,single_type_option_consumer_mismatch,429,30
69,single_type_option_consumer_mismatch,962,100
70,size_chart,429,22
71,size_chart,962,15
72,size_question,429,96
73,size_question_answer,962,6
74,sleeve style_question,429,3132
75,sleeve style_question,962,1065
76,store_locator_button,429,49
77,store_locator_button,962,5
78,style_question,429,2050
79,style_question,962,438
80,sub_group_types_question,429,1249
81,sub_group_types_question,962,4
82,subvertical_selection,429,35811
83,subvertical_selection,962,4168
84,subvertical_selection_second,429,19408
85,subvertical_selection_second,962,1334
86,trend_offer,962,2
