doc,class
product_type-shirt fabric-denim fabric-lace color-blue color_group-bright color_group-cool_color style-sporty style-fun cut-cropped cut-button,1
product_type-shirt style-sporty color-pattern color-gray color_group-pattern sleeve_style-long_sleeve cut-wide cut-cuffed fabric-polyester fabric-rayon fabric-spandex,1
product_type-shirt style-sporty color-pattern color-red color_group-pattern color_group-dark color_group-warm_color sleeve_style-long_sleeve cut-wide cut-cuffed fabric-polyester fabric-rayon fabric-spandex,1
product_type-shirt style-sporty color-pattern color-gray color_group-pattern sleeve_style-long_sleeve cut-wide cut-cuffed fabric-polyester fabric-rayon fabric-spandex,1
product_type-shirt style-sporty color-pattern color-gray color_group-pattern sleeve_style-long_sleeve cut-wide cut-cuffed fabric-polyester fabric-rayon fabric-spandex,1
product_type-shirt style-sporty color-pattern color-red color_group-pattern color_group-dark color_group-warm_color sleeve_style-long_sleeve cut-wide cut-cuffed fabric-polyester fabric-rayon fabric-spandex,1
product_type-shirt neckline-bandeau color-red color_group-warm_color,1
product_type-shirt neckline-bandeau color-black color_group-dark,1
product_type-shirt neckline-bandeau color-red color_group-warm_color,1
product_type-shirt length-short fabric-nylon fabric-spandex sleeve_style-sleeveless neckline-round_neck fit-high_rise color-black color_group-dark,1
product_type-shirt length-short fabric-nylon fabric-spandex sleeve_style-sleeveless neckline-round_neck fit-high_rise color-black color_group-dark,1
product_type-shirt fit-oversized color-red color_group-warm_color activity-skateboarding neckline-point_collar,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt fit-oversized color-red color_group-warm_color activity-skateboarding neckline-point_collar,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt activity-walking sleeve_style-long_sleeve color-green color-pattern color_group-pattern,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark length-short fabric-polyester fabric-spandex neckline-round_neck sleeve_style-short_sleeve style-sporty style-occasion cut-cuff,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark length-short fabric-polyester fabric-spandex neckline-round_neck sleeve_style-short_sleeve style-sporty style-occasion cut-cuff,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark length-short fabric-polyester fabric-spandex neckline-round_neck sleeve_style-short_sleeve style-sporty style-occasion cut-cuff,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark length-short fabric-polyester fabric-spandex neckline-round_neck sleeve_style-short_sleeve style-sporty style-occasion cut-cuff,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt sleeve_style-long_sleeve sleeve_style-sleeveless fit-relaxed fit-loose activity-gym fabric-polyester fabric-elastane,1
product_type-shirt sleeve_style-long_sleeve sleeve_style-sleeveless fit-relaxed fit-loose activity-gym fabric-polyester fabric-elastane,1
product_type-shirt sleeve_style-long_sleeve sleeve_style-sleeveless fit-relaxed fit-loose activity-gym fabric-polyester fabric-elastane,1
product_type-shirt sleeve_style-long_sleeve fabric-mesh length-full_length fit-slim activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-mesh length-full_length fit-slim activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-mesh length-full_length fit-slim activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-wrinkle fabric-jersey fabric-polyester fabric-cotton fabric-mesh style-sexy activity-gym activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-wrinkle fabric-jersey fabric-polyester fabric-cotton fabric-mesh style-sexy activity-gym activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-wrinkle fabric-jersey fabric-polyester fabric-cotton fabric-mesh style-sexy activity-gym activity-outdoor color-black color_group-dark,1
product_type-shirt sleeve_style-long_sleeve fabric-wrinkle fabric-jersey fabric-polyester fabric-cotton fabric-mesh style-sexy activity-gym activity-outdoor color-black color_group-dark,1
product_type-shirt color-pattern color-white color_group-pattern color_group-pale cut-cropped fit-tailored fit-skinny fabric-jean fabric-polyester,1
product_type-shirt color-black color_group-dark sleeve_style-long_sleeve fabric-jersey fabric-spandex fabric-polyester fabric-knitted,1
product_type-shirt color-black color_group-dark sleeve_style-long_sleeve fabric-jersey fabric-spandex fabric-polyester fabric-knitted,1
product_type-shirt color-black color_group-dark sleeve_style-long_sleeve fabric-jersey fabric-spandex fabric-polyester fabric-knitted,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-black color_group-dark neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-blue color_group-bright color_group-dark color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-purple color_group-cool_color neckline-v_neck neckline-vneck fabric-cotton,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt color-pattern color_group-pattern neckline-collar_button cut-pocket fit-regular_fit,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-white color_group-pale fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-white color_group-pale fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-white color_group-pale fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-brown color_group-pale color_group-dark color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-brown color_group-pale color_group-dark color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-brown color_group-pale color_group-dark color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-pink color_group-bright color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-pink color_group-bright color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-pink color_group-bright color_group-warm_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-purple color_group-cool_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-purple color_group-cool_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-purple color_group-cool_color fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-black color_group-dark fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-black color_group-dark fit-slim,1
product_type-shirt activity-gym activity-yoga fabric-nylon color-pattern color-black color_group-dark fit-slim,1
product_type-shirt color-pattern color-white color_group-pale fabric-cotton fit-regular neckline-collar,1
product_type-shirt color-pattern color-white color_group-pale fabric-cotton fit-regular neckline-collar,1
product_type-shirt color-pattern color-white color_group-pale fabric-cotton fit-regular neckline-collar,1
product_type-shirt color-pattern color-white color_group-pale fabric-cotton fit-regular neckline-collar,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-black color_group-dark,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-red color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-dark color_group-cool_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-white color_group-pale,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-pink color_group-bright color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-cool_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-black color_group-dark,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-white color_group-pale,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-red color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-dark color_group-cool_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-pink color_group-bright color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-cool_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-black color_group-dark,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-red color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-cool_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-white color_group-pale,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-pink color_group-bright color_group-warm_color,1
product_type-shirt fit-fitted fabric-cotton fabric-spandex color-blue color_group-bright color_group-dark color_group-cool_color,1
