doc,class
product_type-shirt fit-regular_fit neckline-revere_collar,1
product_type-shirt color-blue color-green color-pattern color_group-pale color_group-bright color_group-pattern style-elegant activity-trail,1
product_type-shirt color-blue fit-regular_fit sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester neckline-collar_button,0
product_type-shirt color-green fit-regular_fit sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button,0
product_type-shirt color-brown fit-regular_fit sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button,0
product_type-shirt color-blue color_group-dark fit-regular_fit sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester neckline-collar_button,0
product_type-shirt color-blue color_group-dark cut-button_down neckline-collar neckline-collar_button fit-regular_fit sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester,0
product_type-shirt fit-skinny color-black color_group-dark sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny color-blue color-pattern color_group-pattern sleeve_style-long_sleeve fabric-woven_cotton fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny color-blue color-pattern color_group-pattern sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny color-blue sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny fit-slim color-blue sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-point_collar neckline-collar_button,0
product_type-shirt fit-skinny color-red color_group-dark sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny color-gray color_group-dark sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny color-brown sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny fit-regular_fit sleeve_style-long_sleeve fabric-woven neckline-point_collar neckline-collar_button color-white color-red color_group-pale color_group-dark,0
product_type-shirt fit-skinny sleeve_style-long_sleeve fabric-woven neckline-point_collar neckline-collar_button color-white color-brown color_group-pale,0
product_type-shirt fit-skinny color-pink sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny color-pink sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny color-blue color_group-dark sleeve_style-long_sleeve fabric-cotton fabric-elastane neckline-collar_button,0
product_type-shirt fit-skinny color-white color_group-pale cut-button_down neckline-collar neckline-collar_button sleeve_style-long_sleeve fabric-woven_cotton fabric-cotton fabric-elastane,0
product_type-shirt fit-skinny color-white color_group-pale neckline-collar neckline-collar_button sleeve_style-long_sleeve fabric-cotton fabric-elastane,0
product_type-shirt color-red sleeve_style-long_sleeve fabric-pure_cotton neckline-collar cut-button fit-regular_fit,0
product_type-shirt sleeve_style-long_sleeve cut-button_down neckline-collar neckline-collar_button fabric-woven fabric-cotton fabric-polyester fit-regular_fit color-red color_group-dark,0
product_type-shirt sleeve_style-long_sleeve color-pattern color-red color_group-pattern color_group-dark fabric-woven fabric-cotton fabric-polyester neckline-point_collar neckline-collar_button fit-regular_fit,0
product_type-shirt color-brown sleeve_style-long_sleeve fabric-woven fabric-cotton fabric-polyester neckline-collar_button fit-regular_fit,0
product_type-shirt color-white color_group-pale cut-button_down neckline-collar neckline-collar_button sleeve_style-long_sleeve fabric-woven_cotton fabric-cotton fabric-polyester fit-regular_fit,0
