doc,class
product_type-shirt color-pattern color_group-pattern neckline-point_collar fit-regular_fit fit-loose fit-skinny,1
product_type-shirt color-pattern color_group-pattern neckline-point_collar fit-regular_fit fit-loose fit-skinny,1
product_type-shirt color-pattern color_group-pattern neckline-point_collar fit-regular fit-loose fit-skinny fit-oversized,1
product_type-shirt color-pattern color_group-pattern neckline-point_collar fit-regular fit-loose fit-skinny fit-oversized,1
product_type-shirt fabric-cotton fabric-viscose neckline-point_collar neckline-button_collar cut-pocket fit-regular color-pink,0
product_type-shirt fit-long_line fit-regular fabric-wovencotton fabric-cotton neckline-point_collar neckline-button_collar cut-pocket color-blue color_group-dark,0
product_type-shirt cut-ruffle cut-concealedbutton cut-frill fabric-twill fabric-lycra neckline-collar fit-regular color-pink,0
product_type-shirt fabric-cotton neckline-point_collar neckline-button_collar cut-pocket fit-long_line fit-relaxed color-white color_group-pale,0
product_type-shirt fabric-cotton neckline-collar cut-button fit-regular,0
product_type-shirt cut-ruffle cut-cropped fabric-woven fabric-lycra neckline-point_collar neckline-button_collar fit-regular color-pink,0
product_type-shirt cut-smock cut-peplum cut-ruffle fabric-cotton fabric-jersey neckline-roundneck fit-regular color-black color_group-dark,0
product_type-shirt fabric-crepe fabric-cotton neckline-point_collar fit-relaxed color-pink color_group-pale,0
product_type-shirt neckline-collar fabric-cotton cut-tiedetail cut-button fit-regular color-white color_group-pale,0
product_type-shirt cut-ruffle cut-concealedbutton fabric-woven style-classic neckline-point_collar fit-regular color-pink,0
product_type-shirt color-pattern color_group-pattern fabric-woven fabric-cotton fabric-viscose neckline-point_collar neckline-button_collar cut-cropped fit-regular,0
product_type-shirt fit-oversized cut-pocket cut-concealedbutton cut-frontpocket cut-sidesplit fabric-cotton neckline-point_collar color-blue,0
product_type-shirt cut-frill cut-cropped fabric-woven fabric-polyester fabric-cotton color-pattern color-gray color_group-pattern neckline-button_collar fit-regular,0
product_type-shirt fabric-woven neckline-point_collar neckline-button_collar fit-relaxed color-pink,0
product_type-shirt cut-pocket neckline-collar neckline-point_collar neckline-button_collar fabric-corduroy fabric-woven fabric-cotton fit-regular color-brown color_group-pale,0
product_type-shirt fabric-woven fabric-cotton fabric-viscose neckline-point_collar neckline-button_collar cut-pocket fit-relaxed color-blue,0
product_type-shirt fit-oversized fit-relaxed cut-pocket fabric-wovencotton fabric-cotton neckline-point_collar neckline-button_collar color-off_white color_group-pale,0
product_type-shirt cut-frill cut-button fabric-wovencotton fabric-cotton neckline-roundneck fit-regular color-off_white color_group-pale,0
product_type-shirt cut-frill fabric-woven fabric-cotton neckline-highneck neckline-necklinebutton fit-regular color-blue,0
product_type-shirt cut-wrap cut-cuff cut-cropped fabric-woven fabric-cotton neckline-crew_neck fit-regular color-gray,0
product_type-shirt fit-oversized color-pattern color_group-pattern fabric-flannel fabric-cotton neckline-point_collar neckline-button_collar cut-cropped,0
product_type-shirt fabric-woven fabric-cotton fabric-viscose neckline-button_collar cut-pocket fit-regular color-white color_group-pale,0
product_type-shirt sleeve_style-cold_shoulder fabric-wovencotton fabric-cotton neckline-necklinebutton fit-relaxed,0
product_type-shirt neckline-collar fabric-cotton cut-tiedetail cut-button fit-regular color-white color_group-pale,0
product_type-shirt neckline-collar fabric-cotton cut-tiedetail cut-button fit-regular color-white color_group-pale,0
