doc,class
product_type-shirt color-pattern color-gray color_group-pattern fabric-cotton neckline-point_collar neckline-button_collar cut-pocket fit-regular,1
product_type-shirt color-pattern color-blue color_group-pattern fit-regular fabric-cotton neckline-point_collar neckline-button_collar,1
product_type-shirt sleeve_style-long_sleeve color-pattern color-red color_group-pattern cut-button_down cut-pocket neckline-button_collar fit-regular,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-dark fabric-cotton neckline-button_collar cut-pocket fit-regular,1
product_type-shirt color-gray color-pattern fabric-cotton neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt cut-button_down cut-pocket neckline-collar neckline-button_collar fabric-wovencotton fit-regular_fit color-brown color-pink color_group-pale,1
product_type-shirt fabric-flannel fabric-cotton fit-long_line color-pattern color-green color_group-pattern color_group-cool_color neckline-point_collar neckline-button_collar sleeve_style-long_sleeve,1
product_type-shirt fit-musclefit color-green neckline-point_collar neckline-button_collar cut-closecut,1
product_type-shirt fabric-cotton neckline-point_collar cut-pocket cut-button cut-cuff fit-regular_fit length-midi,1
product_type-shirt color-blue color_group-dark neckline-button_collar fit-regular_fit,1
product_type-shirt cut-button_down cut-pocket fabric-denim fabric-cotton color-black color_group-dark neckline-button_collar fit-regular,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark neckline-point_collar sleeve_style-long_sleeve fit-regular_fit,1
product_type-shirt color-black color_group-dark fabric-cotton fabric-denim neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt fit-slim color-black color_group-dark fabric-cotton fabric-woven fabric-polyester neckline-point_collar neckline-button_collar,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-dark fabric-woven neckline-reverecollar sleeve_style-short_sleeve cut-button fit-regular,1
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve neckline-button_collar fit-regular,1
product_type-shirt fit-slim fabric-denim fabric-cotton neckline-point_collar neckline-button_collar cut-pocket color-gray,1
product_type-shirt fit-regular sleeve_style-short_sleeve color-red color_group-dark color_group-warm_color fabric-cotton fabric-twill neckline-point_collar cut-button,1
product_type-shirt fit-slim color-brown color-pattern color_group-pattern cut-button_down neckline-button_collar,1
product_type-shirt fit-slim color-white color_group-pale cut-button_down neckline-button_collar,1
product_type-shirt neckline-collarless sleeve_style-short_sleeve fit-regular_fit cut-button color-blue color_group-dark,1
product_type-shirt cut-pocket sleeve_style-long_sleeve neckline-point_collar fit-regular color-gray color_group-pale,1
product_type-shirt fabric-flannel fabric-cotton fit-long_line color-pattern color-purple color_group-pattern color_group-cool_color neckline-point_collar neckline-button_collar sleeve_style-long_sleeve,1
product_type-shirt color-pattern color-black color_group-dark neckline-point_collar cut-button fit-regular,1
product_type-shirt fit-slim color-black color_group-dark fabric-cotton fabric-woven fabric-polyester neckline-point_collar neckline-button_collar,1
product_type-shirt fit-regular sleeve_style-short_sleeve color-blue color_group-bright color_group-dark color_group-cool_color fabric-cotton fabric-twill neckline-point_collar cut-button,1
product_type-shirt color-pattern color-black color_group-pattern color_group-dark neckline-point_collar sleeve_style-long_sleeve fit-regular_fit,1
product_type-shirt cut-zipper color-pattern color-black color_group-dark neckline-point_collar fit-regular_fit,1
product_type-shirt fabric-flannel fabric-cotton fit-long_line color-pattern color-green color_group-pattern color_group-cool_color neckline-point_collar neckline-button_collar sleeve_style-long_sleeve,1
product_type-shirt color-white color-pattern color_group-pale neckline-reverecollar neckline-button_collar sleeve_style-short_sleeve fit-regular,1
product_type-shirt color-black color_group-dark fabric-cotton fabric-denim neckline-button_collar cut-pocket fit-regular_fit,1
product_type-shirt color-blue color_group-dark neckline-button_collar fit-regular_fit,1
product_type-shirt fit-slim color-pattern color-black color_group-dark fabric-woven neckline-point_collar neckline-button_collar,1
product_type-shirt fabric-wovencotton neckline-point_collar color-pattern color-white color_group-pattern color_group-pale cut-button fit-regular,1
product_type-shirt fabric-woven neckline-point_collar neckline-button_collar cut-pocket cut-sidesplit fit-regular color-black color_group-dark,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color cut-button_down cut-button neckline-button_collar fit-regular,1
