doc,class
product_type-shirt neckline-grandad neckline-collar neckline-button_collar color-pattern color_group-pattern cut-pocket fit-regular,1
product_type-shirt neckline-grandad neckline-collar neckline-button_collar cut-pocket fit-regular color-white color_group-pale,1
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve fabric-woven neckline-collar cut-pocket cut-button fit-loose,1
product_type-shirt color-pattern color-black color_group-dark sleeve_style-short_sleeve fabric-woven neckline-collar cut-pocket cut-button fit-loose,1
product_type-shirt color-pattern color-black color_group-dark length-mini fabric-woven neckline-collar cut-pocket cut-button sleeve_style-short_sleeve fit-loose,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-dark neckline-point_collar cut-button cut-pocket,1
product_type-shirt color-pattern color-black color_group-dark length-mini fabric-woven neckline-collar cut-pocket cut-button sleeve_style-short_sleeve fit-loose,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-dark neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized neckline-point_collar cut-button cut-pocket color-blue color_group-dark,1
product_type-shirt fit-oversized neckline-point_collar cut-button cut-pocket color-blue color_group-dark,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-dark neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-dark neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-point_collar cut-button cut-pocket,1
product_type-shirt fit-oversized color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-point_collar cut-button cut-pocket,1
