,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
0,pants,pleated pants,Male,"[""dressy casual""]",['100.0%'],[1],1
1,skirt,tennis skirt,Female,"[""active""]",['100.0%'],[6],6
2,pants,soft shell pants,Male,"[""active""]",['100.0%'],[2],2
3,shorts,hotpants,Female,"[""beach""]",['100.0%'],[2],2
4,shirt,blouse,Male,"[""casual""]",['100.0%'],[58],58
5,dress,crop top dress,Female,"[""creative black tie""]",['100.0%'],[61],61
6,shirt,button-down shirt,Female,"[""casual""]",['100.0%'],[71],71
7,jeans,jegging,Female,"[""casual"",""dressy casual""]","['76.14%', '23.86%']","[134, 42]",176
8,shirt,knit top,Male,"[""casual""]",['100.0%'],[2],2
9,pants,sweat pants,Female,"[""dressy casual"",""active"",""business formal"",""casual""]","['6.61%', '30.33%', '6.31%', '56.76%']","[22, 101, 21, 189]",333
10,trousers,cargo trousers,Female,"[""casual"",""dressy casual""]","['66.67%', '33.33%']","[4, 2]",6
11,shirt,t-shirt,Female,"[""creative black tie"",""casual"",""cocktail"",""white tie"",""dressy casual"",""festive"",""business formal"",""active""]","['0.02%', '12.04%', '0.04%', '0.01%', '2.56%', '0.03%', '81.58%', '3.72%']","[14, 8560, 28, 8, 1822, 20, 58007, 2643]",71102
12,shorts,cargo shorts,Female,"[""casual""]",['100.0%'],[37],37
13,shirt,tank top,Male,"[""dressy casual"",""casual"",""active"",""business formal""]","['0.69%', '7.89%', '15.37%', '76.05%']","[25, 284, 553, 2737]",3599
14,skirt,sarong skirt,Female,"[""beach""]",['100.0%'],[6],6
15,skirt,tulip skirt,Female,"[""casual""]",['100.0%'],[1],1
16,shirt,polo shirt,Male,"[""casual"",""business formal"",""active"",""dressy casual"",""beach""]","['66.78%', '8.59%', '14.29%', '10.31%', '0.03%']","[4089, 526, 875, 631, 2]",6123
17,jeans,capri jeans,Female,"[""dressy casual"",""casual""]","['57.69%', '42.31%']","[15, 11]",26
18,dress,homecoming dress,Female,"[""black tie"",""casual""]","['14.29%', '85.71%']","[1, 6]",7
19,gym bag,gym bag,Female,"[""active""]",['100.0%'],[2],2
20,skirt,tulle skirt,Female,"[""casual""]",['100.0%'],[64],64
21,shirt,overshirt,Male,"[""dressy casual"",""casual""]","['1.1%', '98.9%']","[8, 716]",724
22,dress,dress,Male,"[""dressy casual""]",['100.0%'],[8],8
23,shirt,shell top,Male,"[""casual""]",['100.0%'],[2],2
24,skirt,bodycon skirt,Female,"[""dressy casual"",""casual""]","['12.28%', '87.72%']","[7, 50]",57
25,shirt,shirt,Female,"[""creative black tie"",""cocktail"",""active"",""business formal"",""beach"",""dressy casual"",""casual""]","['0.47%', '0.37%', '1.83%', '0.63%', '0.37%', '23.11%', '73.22%']","[44, 35, 173, 59, 35, 2180, 6907]",9433
26,shorts,shorts,Male,"[""business formal"",""beach"",""active"",""casual"",""dressy casual""]","['0.87%', '4.46%', '15.31%', '77.74%', '1.61%']","[26, 133, 456, 2316, 48]",2979
27,overall,overall,Female,"[""casual"",""business formal""]","['99.61%', '0.39%']","[514, 2]",516
28,dress,dress,Female,"[""active"",""cocktail"",""festive"",""business formal"",""creative black tie"",""white tie"",""black tie"",""beach"",""dressy casual"",""business casual"",""casual""]","['0.12%', '2.2%', '0.02%', '6.54%', '17.1%', '0.12%', '0.18%', '0.65%', '4.59%', '0.3%', '68.18%']","[50, 933, 10, 2769, 7245, 49, 75, 277, 1945, 128, 28880]",42361
29,top,pullover sweat top,Female,"[""active""]",['100.0%'],[1],1
30,sweater,jumper,Male,"[""festive"",""casual"",""active"",""dressy casual""]","['14.81%', '42.41%', '7.04%', '35.74%']","[80, 229, 38, 193]",540
31,shirt,gym vest,Female,"[""active""]",['100.0%'],[435],435
32,top,top,Male,"[""business formal"",""active"",""dressy casual"",""casual""]","['1.44%', '79.07%', '4.94%', '14.56%']","[16, 880, 55, 162]",1113
33,unitard,unitard,Female,"[""dressy casual"",""casual"",""active""]","['2.78%', '94.44%', '2.78%']","[2, 68, 2]",72
